

gen best mean std sigma_prime mutation_r crossover_r
0 92.394865 10.157719 29.890004 0.05 0.1 0.8
0 93.640414 72.312458 35.628383 0.050498 0.1 0.8
1 93.640414 72.312458 35.628383 0.08621 0.12 0.83
2 93.640414 72.312458 35.628383 0.113333 0.14 0.86
3 93.640414 72.312458 35.628383 0.147001 0.16 0.89
4 93.8039 74.994253 34.596808 0.16109 0.1 0.8
5 93.8039 74.994253 34.596808 0.18138 0.12 0.83
6 93.946708 87.684111 17.212453 0.166332 0.1 0.8
7 93.946708 87.684111 17.212453 0.182259 0.12 0.83
8 93.946708 87.684111 17.212453 0.201557 0.14 0.86
9 93.946708 87.684111 17.212453 0.236808 0.16 0.89
10 93.946708 87.684111 17.212453 0.26739 0.18 0.92
11 94.222788 89.078259 15.706446 0.27352 0.1 0.8
12 94.222788 89.078259 15.706446 0.311701 0.12 0.83
13 94.222788 89.078259 15.706446 0.332197 0.14 0.86
14 94.223558 88.832131 16.070496 0.315589 0.1 0.8
15 94.223558 88.832131 16.070496 0.351947 0.12 0.83
16 94.295214 92.416426 0.926126 0.368684 0.1 0.8
17 94.46385 88.486834 20.394497 0.370305 0.1 0.8
18 94.46385 88.486834 20.394497 0.42786 0.12 0.83
19 94.46385 88.486834 20.394497 0.451681 0.14 0.86
20 94.46385 88.486834 20.394497 0.447566 0.16 0.89
21 94.46385 88.486834 20.394497 0.48012 0.18 0.92
22 94.46385 88.486834 20.394497 0.512461 0.2 0.95
23 94.46385 88.486834 20.394497 0.571467 0.22 0.98
24 94.46385 88.486834 20.394497 0.594691 0.24 1.01
25 94.46385 88.486834 20.394497 0.619958 0.26 1.04
26 94.46385 88.486834 20.394497 0.627824 0.28 1.07
27 94.46385 88.486834 20.394497 0.646009 0.31 1.12
28 94.46385 88.486834 20.394497 0.710095 0.34 1.17
29 94.46385 88.486834 20.394497 0.73554 0.37 1.22
30 94.46385 88.486834 20.394497 0.836662 0.4 1.27
31 94.46385 88.486834 20.394497 0.835134 0.43 1.32
32 94.46385 88.486834 20.394497 0.894802 0.46 1.37
33 94.46385 88.486834 20.394497 0.980334 0.49 1.42
34 94.46385 88.486834 20.394497 1.110961 0.52 1.47
35 94.46385 88.486834 20.394497 1.089111 0.55 1.52
36 94.46385 88.486834 20.394497 1.087022 0.58 1.57
37 94.46385 88.486834 20.394497 0.05 0.1 0.8
38 94.46385 88.486834 20.394497 0.078782 0.12 0.83
39 94.636054 77.417271 33.18263 0.073958 0.1 0.8
40 94.636054 77.417271 33.18263 0.100062 0.12 0.83
41 94.636054 77.417271 33.18263 0.129483 0.14 0.86
42 94.636054 77.417271 33.18263 0.156099 0.16 0.89
43 94.636054 77.417271 33.18263 0.195435 0.18 0.92
44 94.798596 83.43778 27.284233 0.21333 0.1 0.8
45 94.798596 83.43778 27.284233 0.245222 0.12 0.83
46 94.798596 83.43778 27.284233 0.277436 0.14 0.86
47 94.798596 83.43778 27.284233 0.316512 0.16 0.89
48 94.798596 83.43778 27.284233 0.328191 0.18 0.92
49 94.798596 83.43778 27.284233 0.377899 0.2 0.95
50 94.798596 83.43778 27.284233 0.468981 0.22 0.98
51 94.798596 83.43778 27.284233 0.518079 0.24 1.01
52 94.798596 83.43778 27.284233 0.575388 0.26 1.04
53 94.798596 83.43778 27.284233 0.581321 0.28 1.07
54 94.798596 83.43778 27.284233 0.596327 0.31 1.12
55 94.798596 83.43778 27.284233 0.681922 0.34 1.17
56 94.798596 83.43778 27.284233 0.800546 0.37 1.22
57 94.798596 83.43778 27.284233 0.83236 0.4 1.27
58 94.798596 83.43778 27.284233 0.896784 0.43 1.32
59 94.798596 83.43778 27.284233 1.02278 0.46 1.37
60 94.798596 83.43778 27.284233 1.154948 0.49 1.42
61 94.798596 83.43778 27.284233 1.27371 0.52 1.47
62 94.798596 83.43778 27.284233 1.331216 0.55 1.52
63 94.798596 83.43778 27.284233 1.554748 0.58 1.57
64 94.798596 83.43778 27.284233 0.05 0.1 0.8
65 94.798596 83.43778 27.284233 0.07868 0.12 0.83
66 94.798596 83.43778 27.284233 0.100499 0.14 0.86
67 94.798596 83.43778 27.284233 0.130941 0.16 0.89
68 94.798596 83.43778 27.284233 0.164943 0.18 0.92
69 94.798596 83.43778 27.284233 0.194995 0.2 0.95
70 94.798596 83.43778 27.284233 0.238967 0.22 0.98
71 94.798596 83.43778 27.284233 0.282639 0.24 1.01
72 94.798596 83.43778 27.284233 0.314478 0.26 1.04
73 94.798596 83.43778 27.284233 0.344714 0.28 1.07
74 94.798596 83.43778 27.284233 0.417513 0.31 1.12
75 94.798596 83.43778 27.284233 0.448096 0.34 1.17
76 94.798596 83.43778 27.284233 0.52478 0.37 1.22
77 94.798596 83.43778 27.284233 0.566776 0.4 1.27
78 94.798596 83.43778 27.284233 0.617756 0.43 1.32
79 94.798596 83.43778 27.284233 0.61616 0.46 1.37
80 94.798596 83.43778 27.284233 0.753092 0.49 1.42
81 94.798596 83.43778 27.284233 0.799067 0.52 1.47
82 94.798596 83.43778 27.284233 0.811694 0.55 1.52
83 94.798596 83.43778 27.284233 0.877413 0.58 1.57
84 94.798596 83.43778 27.284233 0.05 0.1 0.8
85 94.798596 83.43778 27.284233 0.080397 0.12 0.83
86 94.798596 83.43778 27.284233 0.110465 0.14 0.86
87 94.798596 83.43778 27.284233 0.14251 0.16 0.89
88 94.798596 83.43778 27.284233 0.169819 0.18 0.92
89 94.798596 83.43778 27.284233 0.204608 0.2 0.95
90 94.798596 83.43778 27.284233 0.216865 0.22 0.98
91 94.798596 83.43778 27.284233 0.236456 0.24 1.01
92 94.798596 83.43778 27.284233 0.290667 0.26 1.04
93 94.798596 83.43778 27.284233 0.322222 0.28 1.07
94 94.798596 83.43778 27.284233 0.371798 0.31 1.12
95 94.798596 83.43778 27.284233 0.440157 0.34 1.17
96 94.798596 83.43778 27.284233 0.548913 0.37 1.22
97 94.798596 83.43778 27.284233 0.596826 0.4 1.27
98 94.798596 83.43778 27.284233 0.696588 0.43 1.32
99 94.798596 83.43778 27.284233 0.770895 0.46 1.37
