

gen best mean std gain diversity
0 47.742332 -0.962951 10.76917 -40.0 0.573888
0 47.742332 28.676822 10.577815 -60.0 0.544353
1 39.937405 20.343926 8.588997 -50.0 0.53381
2 39.21004 25.986753 6.796436 -50.0 0.530553
3 74.723357 25.621462 7.162959 -10.0 0.513302
4 86.39141 40.700528 22.524385 26 0.508906
5 83.767552 40.891609 20.892837 0 0.484169
6 31.569183 25.925298 5.188314 -70.0 0.476942
7 57.405289 27.287662 5.786413 -30.0 0.46419
8 48.394198 27.296143 5.289941 -40.0 0.465535
9 75.354553 41.695092 16.039862 -10.0 0.428438
10 75.203942 37.824051 18.158567 -70.0 0.451692
11 57.197882 27.147017 7.464751 -30.0 0.415681
12 66.197882 33.261997 9.137714 -20.0 0.425421
13 66.216175 29.05843 8.796995 -20.0 0.430515
14 74.864435 41.937129 14.568188 -10.0 0.427029
15 74.864435 37.721304 14.98762 -70.0 0.397425
16 84.413791 40.32046 19.62286 6 0.412376
17 84.413791 30.015828 14.478622 -60.0 0.38377
18 74.710284 34.406934 14.977875 -60.0 0.373679
19 85.554995 45.328978 20.095416 16 0.375609
20 75.21004 39.348193 16.802617 -70.0 0.361531
21 84.724654 35.278014 13.819255 8 0.340527
22 89.926955 44.691626 16.805448 60 0.360273
23 85.01004 50.231201 17.718785 -60.0 0.352232
24 66.197882 41.49328 15.541469 -40.0 0.341686
25 85.413791 36.68088 12.512161 16 0.319672
26 90.729262 52.370988 15.764668 68 0.301877
27 88.393424 58.294964 12.389032 46 0.309705
28 88.393424 58.320497 21.023745 -70.0 0.30746
29 87.793424 55.297815 14.807657 40 0.267367
30 87.39141 56.940766 10.941456 36 0.267429
31 87.39141 59.477224 12.794828 -30.0 0.253217
32 88.393424 62.524691 18.943963 46 0.266959
33 91.529262 69.124288 22.189904 76 0.268898
34 88.393424 72.327557 19.339674 -30.0 0.266765
35 88.393424 70.849617 20.881764 26 0.257003
36 88.393424 74.660991 21.75898 4 0.258036
37 88.393424 77.481402 16.5121 -60.0 0.274779
38 87.613791 69.604324 16.785808 38 0.266736
39 87.793424 63.105074 17.663175 40 0.26762
40 87.793424 72.596299 15.172733 -20.0 0.265046
41 87.813791 72.211511 20.884643 40 0.267965
42 86.393424 71.72337 13.446953 26 0.266803
43 86.393424 67.469558 14.55017 -30.0 0.270443
44 86.39141 69.425688 14.998675 26 0.263194
45 88.557367 77.204462 15.439031 46 0.268471
46 86.39141 68.725613 18.16869 -30.0 0.261832
47 87.468774 76.537803 15.819399 36 0.268175
48 87.593424 78.800147 14.506228 38 0.277883
49 87.59141 70.099882 22.686765 22 0.275563
50 89.043021 77.074827 17.165096 52 0.275897
51 87.99141 73.019023 16.918269 -20.0 0.273342
52 88.993424 75.460741 22.080914 52 0.28148
53 87.611736 71.081848 18.636156 38 0.289441
54 86.838793 75.404469 15.729283 -20.0 0.284928
55 87.593424 77.053688 18.583206 38 0.282526
56 87.193424 76.53221 16.719049 34 0.275064
57 87.218586 74.071765 14.178482 32 0.263155
58 86.797464 74.744558 17.760716 30 0.283508
59 87.818586 78.09658 19.322496 38 0.281475
60 87.39141 76.275967 19.362846 36 0.27698
61 87.211736 74.746313 20.820451 34 0.29919
62 87.478422 75.529969 20.3985 34 0.283717
63 87.59141 74.601181 20.399022 38 0.305147
64 87.593424 75.892758 18.582345 38 0.295292
65 87.59141 71.349841 20.278247 38 0.312559
66 86.39141 76.205013 17.312282 26 0.299924
67 87.39141 77.804336 18.037573 36 0.299142
68 87.611736 73.542812 21.224166 38 0.317245
69 86.993424 79.002697 18.450896 26 0.309324
70 86.815851 80.315545 15.257114 -30.0 0.305367
71 86.79141 78.653547 15.915667 30 0.302
72 87.611736 80.3987 17.872336 38 0.304007
73 89.593424 81.649035 18.303472 58 0.299291
74 89.593424 81.951772 18.176685 38 0.2756
75 87.59141 81.654424 16.267303 38 0.258858
76 87.59141 83.042031 9.299504 32 0.267278
77 86.813791 81.074799 12.213726 30 0.256478
78 87.213791 80.909017 15.296467 34 0.259862
79 88.393424 79.720313 16.301799 46 0.255574
80 87.793424 79.948348 11.143208 40 0.23532
81 87.99141 84.268591 6.79527 42 0.244751
82 88.418586 78.95129 20.455166 44 0.24127
83 89.793424 81.373594 18.362667 60 0.24084
84 89.393424 79.363749 18.933321 56 0.247555
85 89.593424 80.735512 15.229466 58 0.250175
86 87.59141 78.195567 20.58428 38 0.258988
87 88.793424 71.469851 18.81744 50 0.261441
88 88.793424 79.318383 19.871845 50 0.267846
89 88.215851 78.721029 16.619778 10 0.272999
90 89.393424 79.200384 19.496732 56 0.266731
91 88.593424 70.541003 19.350004 48 0.262427
92 89.015851 79.527677 15.259931 52 0.277427
93 88.993424 78.010934 15.558068 -30.0 0.291029
94 87.611736 73.181645 16.438997 38 0.277732
95 87.611736 72.135003 17.120182 26 0.288089
96 87.611736 78.388782 13.187062 -20.0 0.269532
97 87.211736 79.100508 12.95481 32 0.275092
98 87.59141 76.923892 16.663883 38 0.284386
99 89.87095 74.009111 18.431504 60 0.282928
