# gen best mean std diversity
0.000000 86.316215 12.464585 5.181764 0.420903
1.000000 65.581635 11.279213 3.572571 0.212510
2.000000 66.439318 29.516255 5.212111 0.438955
3.000000 86.025210 24.718198 4.047024 0.152426
4.000000 84.293532 35.192012 1.972407 0.474202
5.000000 66.553263 35.038892 4.281877 0.338009
6.000000 75.139214 33.480721 5.045906 0.408094
7.000000 84.350607 30.083694 5.686304 0.208574
8.000000 75.222348 39.630565 5.851902 0.422307
9.000000 84.059681 33.729095 6.202390 0.135384
10.000000 57.478539 35.286773 4.513597 0.338819
11.000000 57.615505 30.996600 3.591350 0.090406
12.000000 57.478539 30.895651 3.897912 0.349920
13.000000 66.222348 37.625466 3.968137 0.198853
14.000000 66.176954 36.342532 2.579348 0.343783
15.000000 66.282972 33.353637 2.195875 0.266652
16.000000 66.323246 37.713872 3.730378 0.342341
17.000000 85.514638 40.216827 3.245912 0.216491
18.000000 84.617040 38.678926 1.910629 0.346221
19.000000 85.874638 49.542852 5.818559 0.214322
20.000000 85.874638 48.958672 5.277640 0.298432
21.000000 75.570654 47.312237 3.739453 0.169321
22.000000 87.719599 48.917277 4.209628 0.119450
23.000000 87.719599 54.896311 3.065636 0.070796
24.000000 87.719599 56.671300 5.096098 0.312059
25.000000 87.719599 62.635866 4.588901 0.030214
26.000000 85.412890 55.240551 4.438325 0.189337
27.000000 87.175982 59.720749 5.148634 0.086001
28.000000 86.815982 64.362455 2.969300 0.336212
29.000000 86.755982 60.883915 1.216237 0.257250
30.000000 87.351655 61.477381 4.395491 0.320391
31.000000 85.675982 62.455845 6.807571 0.038868
32.000000 86.875982 65.820143 1.470227 0.109977
33.000000 87.351655 68.560814 3.534231 0.072307
34.000000 87.471655 69.762238 3.203251 0.088994
35.000000 87.278539 68.461693 2.100739 0.028101
36.000000 87.471655 67.658826 2.436683 0.288119
37.000000 87.351655 67.654496 4.344504 0.042623
38.000000 87.471655 68.392024 1.619330 0.022161
39.000000 87.351655 69.174528 5.831026 0.018850
40.000000 87.411655 68.607330 4.073796 0.052859
41.000000 87.291655 70.762018 6.312439 0.026414
42.000000 87.291655 64.772452 5.854931 0.191974
43.000000 88.467729 58.784908 6.059920 0.134521
44.000000 87.531655 62.227116 4.293192 0.305413
45.000000 87.098539 60.936790 4.189912 0.114381
46.000000 87.171655 59.133948 6.492791 0.030434
47.000000 87.471655 58.824496 6.480199 0.028271
48.000000 87.471655 59.435383 2.959992 0.039582
49.000000 87.411655 60.145897 2.003100 0.039207
50.000000 87.471655 63.063934 2.774657 0.249136
51.000000 87.471655 59.229426 4.408041 0.169684
52.000000 87.055982 52.922478 8.045042 0.251408
53.000000 86.875982 54.956190 7.234444 0.174625
54.000000 86.552890 54.275811 6.177058 0.177860
55.000000 87.154547 54.329389 3.530432 0.096078
56.000000 86.755982 61.317931 3.798706 0.099066
57.000000 86.297040 60.182159 3.466816 0.091434
58.000000 86.297040 60.477523 3.844340 0.166938
59.000000 87.447729 65.314995 3.743959 0.093339
60.000000 75.213103 62.304841 3.992461 0.058952
61.000000 84.713532 63.656817 2.580830 0.055797
62.000000 75.269900 62.644148 2.927256 0.208464
63.000000 85.772890 64.388111 6.895798 0.108224
64.000000 85.772890 65.088693 3.794070 0.210560
65.000000 87.396168 69.297013 6.188417 0.165687
66.000000 87.351655 67.887499 5.277525 0.058101
67.000000 87.111655 66.512027 6.032897 0.044278
68.000000 86.811655 68.298445 3.755492 0.043930
69.000000 88.171940 72.412357 4.650983 0.048429
70.000000 87.751940 68.583524 4.875710 0.216708
71.000000 84.783942 64.668806 3.623170 0.122420
72.000000 86.815982 65.807193 1.977882 0.186052
73.000000 86.635982 56.802727 3.211417 0.072743
74.000000 87.447729 66.992513 1.676060 0.159557
75.000000 86.695982 54.993201 3.879556 0.094237
76.000000 86.875982 51.660637 4.220065 0.172356
77.000000 84.533532 57.848375 4.329791 0.019272
78.000000 84.996168 61.548918 5.390042 0.181717
79.000000 87.295982 65.033829 5.227907 0.096742
80.000000 87.175982 63.726206 3.197324 0.193354
81.000000 85.712890 60.822857 4.596764 0.143331
82.000000 87.235982 59.485166 4.542431 0.132251
83.000000 84.240907 54.120636 5.187144 0.089240
84.000000 84.814809 53.407287 3.511200 0.179839
85.000000 84.874809 59.785302 7.210701 0.035124
86.000000 84.934809 57.333687 6.231134 0.198027
87.000000 84.934809 56.669583 7.227787 0.115090
88.000000 84.363942 61.276942 3.138106 0.188076
89.000000 84.934809 59.128643 3.860961 0.162918
90.000000 86.815982 62.009653 3.632163 0.139474
91.000000 86.935982 61.974977 4.553816 0.027762
92.000000 84.934809 53.173279 2.587957 0.188154
93.000000 87.351655 62.386974 4.859663 0.124609
94.000000 84.994809 55.324079 3.130218 0.166233
95.000000 85.532890 58.720588 5.010934 0.124301
96.000000 86.233573 63.002645 3.166427 0.193594
97.000000 87.032892 61.110090 3.582707 0.093942
98.000000 86.311940 61.637030 3.232074 0.177845
99.000000 87.543229 66.964535 3.259266 0.081013
