

gen best mean std
0 85.155935 -1.293795 11.743252
1 85.155935 3.983104 13.209071
2 85.155935 12.235412 15.11577
3 85.155935 17.887404 15.015946
4 85.155935 20.845474 13.980058
5 85.155935 23.385887 14.527913
6 85.155935 24.593687 15.225267
7 85.155935 23.800414 14.269738
8 85.155935 25.422989 15.109887
9 85.155935 24.446595 15.653986
10 85.155935 24.512033 16.18334
11 85.155935 25.547646 17.38365
12 86.561598 26.263004 17.047535
13 86.561598 25.22666 18.880944
14 86.561598 25.818955 18.832026
15 86.561598 24.747055 17.689393
16 86.561598 26.864983 18.159487
17 86.561598 26.317076 18.526894
18 86.561598 26.300398 19.919512
19 86.561598 27.202598 19.294422
20 86.561598 27.951381 19.890779
21 86.561598 28.076984 21.117692
22 86.561598 27.626227 20.334624
23 86.561598 27.451331 21.165001
24 86.561598 26.857978 21.389668
25 86.561598 29.458446 22.343727
26 86.561598 31.050461 22.973028
doomsday
27 86.561598 29.513007 24.988895
28 86.561598 30.851083 23.713115
29 86.561598 30.744501 23.417669
30 86.561598 30.020399 23.344329
31 86.561598 31.112728 24.317977
32 86.561598 31.750691 23.855429
33 86.561598 32.343577 22.464655
34 86.561598 32.180093 22.602615
35 86.561598 31.85562 24.174169
36 86.561598 31.76258 23.803385
37 86.561598 31.853217 24.13176
38 86.561598 32.686874 24.608481
39 86.561598 32.811303 24.583603
40 86.561598 31.446327 23.230534
41 86.561598 28.897644 22.262617
doomsday
42 86.561598 29.248086 25.139712
43 86.561598 32.450991 23.217732
44 86.561598 30.982238 22.298661
45 86.561598 29.313085 22.225353
46 86.561598 30.24183 23.078068
47 86.561598 32.19362 22.89092
48 86.837119 30.233998 21.946317
49 86.837119 30.220912 22.680832
50 86.837119 29.675392 23.111163
51 86.837119 28.7476 21.574453
52 86.837119 29.057367 21.546621
53 86.837119 30.865626 22.301877
54 86.837119 31.153307 23.22429
55 86.837119 30.8896 23.90573
56 86.837119 33.573252 24.952157
57 86.837119 34.218349 25.822799
58 86.837119 33.413464 25.941117
59 86.837119 34.237686 26.800521
60 86.837119 35.794791 26.803291
61 86.837119 35.759877 27.171813
62 86.837119 36.894697 27.052069
doomsday
63 86.837119 33.747205 29.745147
64 86.837119 37.985614 28.404831
65 86.837119 38.775939 27.872178
66 87.993283 38.184178 28.333673
67 87.993283 40.300772 27.141605
68 87.993283 40.210263 28.091695
69 87.993283 40.243966 30.159392
70 87.993283 40.657533 28.761286
71 87.993283 41.662152 27.980569
72 87.993283 41.618083 28.217136
73 87.993283 42.541134 26.946734
74 87.993283 42.688231 28.23063
75 87.993283 44.180778 27.541175
76 87.993283 41.303748 28.036595
77 87.993283 42.981957 27.07077
78 87.993283 41.052869 27.936757
79 87.993283 41.737776 26.683992
80 87.993283 43.297264 27.498087
doomsday
81 87.993283 41.248656 31.372927
82 87.993283 44.530199 29.502597
83 87.993283 45.740997 29.103401
84 87.993283 45.021091 30.101432
85 87.993283 44.486313 30.604216
86 87.993283 47.271002 29.566551
87 88.878299 46.712631 29.584696
88 88.878299 46.584288 30.852675
89 88.878299 45.850442 31.043466
90 88.878299 46.061673 29.805469
91 88.878299 47.229345 27.868598
92 88.878299 48.797501 29.201954
93 88.878299 47.871437 30.065623
94 88.878299 46.936081 29.348111
95 88.878299 47.30754 29.681513
96 88.878299 47.967191 28.538057
97 88.878299 42.990888 30.759992
98 88.878299 44.967004 31.061012
99 88.878299 46.093714 30.781001
